utterance_tokens,count
ja,176
mhm,109
ja ja,39
aha,36
ne,26
aja,25
eee,25
[name:personal],13
eem,12
mmm,11
dobro,10
ja ja ja,9
ne vem,8
mm,7
mhm mhm,7
tako da,7
res,7
super,6
ja saj,6
ne ne,5
kaj,5
ha,5
zakaj,5
prosim,5
[name:personal] [name:surname],5
hm,5
eee ja,5
ja ja ja ja,5
tako,5
ja mhm,4
a veš,4
je,4
dva,4
aha aha,4
fajn,4
dobro jutro,3
rdeča vrtnica,3
dober večer,3
v redu,3
a res,3
ah,3
ni,3
pa,3
a,3
tako je,3
v zrak,3
oče,3
ja tako,3
ja ne,3
kako,3
seveda,3
no,3
aja ja,3
okej,3
ojej,3
ja ja ja ja ja,3
peta,2
ne še,2
aja točno,2
katero,2
halo,2
devetindvajseti trideseti,2
ne res,2
ne ja,2
sirovo,2
tako ja,2
ja hvala lepa za besedo,2
to,2
hvala lepa,2
eee [name:personal],2
jaz tudi ne,2
rdeča,2
[name:personal] dobro jutro,2
karavanke,2
prikazovalno,2
[name:personal] prosim,2
res je,2
mogoče,2
čao,2
radiomonada,2
hvala,2
ivanovo,2
rusija,2
ito,2
odštevajo se sekunde,2
absolutno,2
[name:personal] pa [name:personal],2
ooo,2
kje,2
ni ni,2
a ne,2
obe,2
aha razumem,2
[name:personal] [name:surname] je bila,2
m m,2
ja saj ja,2
da je lepše,2
pizda ej,2
kdo,2
z letala,2
a da,2
veš da,2
jo,2
aa,2
dober dan,2
hmm,2
vseeno,2
eden naj govori ššš,1
hiša iz ilovice,1
pa niso muzeji samo tako v naravi,1
mhm pa še živijo notri,1
ne je že,1
aja torej propada propada propada nihče ne živi,1
ja pa cerkvica je tam še,1
takšna ena eee z blata hiša,1
ja pa poleg,1
tale hiše je kar nekaj značilno ker propadajo,1
doživetje,1
doživetje dogodivščino neko ljubezensko srečanje,1
v četrti,1
tretji,1
drugi,1
kaj pa prva dajmo prvo pogledati še enkrat,1
kateri morski tok,1
ne ni bengalski,1
v gvinejskem zalivu se začne,1
največji morski tok na svetu,1
kako se imenuje ta morski tok,1
topli,1
hvala lepa gospod [name:surname] replika gospod [name:surname],1
dva milijona nas je,1
naj se,1
če bo potrebno ne glede za ceno,1
ampak želim nekaj drugega poudariti,1
poglejte kako se streže to v tujini,1
upam da no,1
sedemnajst do osmih jamelia superstar dobro jutro,1
hitro gre čas kaj,1
bomo že preživeli,1
jutro,1
sem zbudila [name:personal],1
ja malce,1
tukaj [name:personal] [name:surname] radio center,1
o pozdravljeni pozdravljeni,1
a ni treba v službo,1
a je je treba treba,1
samo kasneje verjetno ne,1
ja ja majčkeno kasneje ja ja kar kar,1
hoteli ste kupiti perzijsko preprogo,1
to je nekaj božanskega kajne,1
jasno dodan ima še slalom,1
do petindvajsetega,1
a si nor,1
a ja tako samo za par ur naprej,1
preverjeno,1
preverjeno [name:personal],1
preverjeno tudi s tvoje strani,1
mh ja hm,1
[name:personal] ti prideš letos,1
od viktorije,1
od viktorije eee boste rekli naslov,1
[name:personal] si si zapomnil,1
malo,1
evo zgučano,1
fajn se imejte uživajte,1
hvala lahko noč,1
adijo lahko noč,1
ja dober večer,1
pozdravljeni [name:personal],1
kako je zdaj z vami,1
ide ide no hvala bogu ne,1
recite mi kaj bova špilala nocoj,1
eee jaz bi imela od davorja borna,1
što imam od života,1
jah zdaj kakor kateri ne eni imajo dosti,1
edino če od prodaje,1
točno,1
prav,1
okej samo nekaj sem hotel vprašati,1
pa sem pozabil,1
relativno pozno,1
ker se pač tudi poletne prireditve pozno začenjajo,1
ker ponavadi je vedno tukaj eem,1
je to torek in sreda oprosti,1
ne kaj je takrat sploh junijsko izobraževanje,1
a so,1
čakaj ampak to junijsko je nekako,1
to je skupno,1
na facebook ja,1
ker ima dosti ljudi facebook,1
in sem gledala gor so ribiške družine,1
lovske družine,1
in lahko komot imaš tam reklamo,1
pa kake popuste jim daješ pa tako,1
mmm to bi bilo zelo zanimivo,1
preveč kje,1
v spletni trgovini,1
samo barva ne,1
ja to pa bova z-,1
ravno ne vav kam pa greš,1
